"Date","URL","Endid","Title","Brand_name","Position"
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/carnac-carnac-plage/la-grande-metairie/camping","83710","Camping La Grande Métairie","Lux-camp",3
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/carnac-carnac-plage/la-grande-metairie/camping","83710","Camping La Grande Métairie","Vacanceselect",4
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/carnac-carnac-plage/la-grande-metairie/camping","83710","Camping La Grande Métairie","Canvas Holidays",5
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/carnac-carnac-plage/la-grande-metairie/camping","83710","Camping La Grande Métairie","D-reizen",6
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/carnac-carnac-plage/la-grande-metairie/camping","83710","Camping La Grande Métairie","TUI",7
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/carnac-carnac-plage/la-grande-metairie/camping","83710","Camping La Grande Métairie","Al Fresco",8
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/carnac-carnac-plage/la-grande-metairie/camping","83710","Camping La Grande Métairie","Eurocamp",9
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/carnac-carnac-plage/la-grande-metairie/camping","83710","Camping La Grande Métairie","AlleReizenOp1Site.nl",10
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/la-trinite-sur-mer/la-baie/camping","83792","Camping La Baie","Eurocamp",1
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/la-trinite-sur-mer/la-baie/camping","83792","Camping La Baie","Allcamps",2
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/la-trinite-sur-mer/la-baie/camping","83792","Camping La Baie","Go4holiday",3
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/la-trinite-sur-mer/la-baie/camping","83792","Camping La Baie","ANWB camping",4
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/la-trinite-sur-mer/la-baie/camping","83792","Camping La Baie","Lux-camp",5
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/la-trinite-sur-mer/la-baie/camping","83792","Camping La Baie","Booking.com",6
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/la-trinite-sur-mer/la-baie/camping","83792","Camping La Baie","D-reizen",7
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/la-trinite-sur-mer/la-baie/camping","83792","Camping La Baie","AlleReizenOp1Site.nl",8
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/la-trinite-sur-mer/de-la-plage/camping","83793","Camping De La Plage","Allcamps",1
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/la-trinite-sur-mer/de-la-plage/camping","83793","Camping De La Plage","Go4holiday",2
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/la-trinite-sur-mer/de-la-plage/camping","83793","Camping De La Plage","Lux-camp",3
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/la-trinite-sur-mer/de-la-plage/camping","83793","Camping De La Plage","D-reizen",4
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/la-trinite-sur-mer/de-la-plage/camping","83793","Camping De La Plage","Eurocamp",5
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/la-trinite-sur-mer/de-la-plage/camping","83793","Camping De La Plage","AlleReizenOp1Site.nl",6
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/baden/yelloh-village-mane-guernehue/camping","83670","Camping Yelloh ! Village Mané Guernehué","Eurocamp",1
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/baden/yelloh-village-mane-guernehue/camping","83670","Camping Yelloh ! Village Mané Guernehué","Yelloh! Village",2
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/baden/yelloh-village-mane-guernehue/camping","83670","Camping Yelloh ! Village Mané Guernehué","Allcamps",3
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/baden/yelloh-village-mane-guernehue/camping","83670","Camping Yelloh ! Village Mané Guernehué","Go4holiday",4
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/baden/yelloh-village-mane-guernehue/camping","83670","Camping Yelloh ! Village Mané Guernehué","Lux-camp",5
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/baden/yelloh-village-mane-guernehue/camping","83670","Camping Yelloh ! Village Mané Guernehué","D-reizen",6
2019-06-25,"https://www.zoover.nl/frankrijk/bretagne/baden/yelloh-village-mane-guernehue/camping","83670","Camping Yelloh ! Village Mané Guernehué","AlleReizenOp1Site.nl",7
